,cement_co2,co2,coal_co2,flaring_co2,gas_co2,land_use_change_co2,methane,nitrous_oxide,oil_co2,other_industry_co2,consumption_co2,trade_co2,pop_cluster
ALB,0.27386516853932585,3.3015617977528082,0.7503370786516858,0.0015280898876404495,0.18771910112359547,2.6412790697674433,3.3896666666666664,1.198,2.088089887640449,,5.088354838709677,1.1469677419354838,0
AND,0.0,0.05693382352941175,0.0,0.0,0.0,0.004720930232558142,0.03933333333333335,0.0,0.4839374999999999,,,,0
AUS,2.0659468085106387,69.73834926470587,38.027128676470596,1.1030367647058825,7.920794117647059,79.9013953488372,138.98066666666665,79.02033333333335,21.55656985294118,3.5433124999999994,329.47416129032257,-35.567096774193544,0
BLR,0.9137472527472532,29.458688235294122,3.205705882352942,0.05964705882352943,7.881176470588237,23.294540697674417,16.034999999999997,12.655999999999999,17.506599999999995,1.6808750000000001,52.44522580645161,-12.40567741935484,0
BEL,2.374819148936169,65.5137720207254,39.038761658031106,0.01723834196891192,7.100082901554403,2.093174418604653,10.643,6.7396666666666665,17.809341968911916,2.36190625,195.64054838709677,79.76351612903224,0
BIH,0.12689130434782608,7.653626984126985,6.0239047619047605,0.0025793650793650797,0.19624603174603164,6.391546511627907,3.5089999999999995,1.0223333333333333,1.3382460317460316,,,,0
BGR,1.124946808510638,27.47012056737589,15.381815602836875,0.07104255319148936,2.4284822695035473,7.051046511627911,9.826333333333332,4.276333333333334,8.648269503546102,0.8392812500000001,44.99380645161292,-6.058967741935481,0
HRV,0.868815217391304,8.873809523809525,1.1287698412698415,0.14969047619047618,1.6415555555555559,6.103098837209299,3.6396666666666664,2.3423333333333334,5.273809523809524,0.17971874999999998,22.92635483870968,3.231,0
CYP,0.4734444444444443,4.187069444444445,0.056986111111111105,0.0,0.00038888888888888903,0.38152325581395297,0.6536666666666664,0.36599999999999994,3.637902777777778,0.04137499999999999,8.235806451612902,1.2030000000000003,0
CZE,0.9257654320987652,74.54932716049386,60.06049382716049,0.05439506172839508,4.2639012345679035,-1.2131802325581411,15.366000000000001,5.359999999999999,8.9209012345679,1.6395000000000002,118.41954838709675,-4.063193548387098,0
DNK,0.8674999999999998,22.98929608938548,10.31456424581006,0.10464245810055867,1.552430167597765,6.999325581395351,9.22133333333333,5.8376666666666654,10.476122905027934,0.48090625,61.936161290322566,10.82741935483871,0
EST,0.24378021978021988,9.649729411764705,6.888599999999999,0.01669411764705882,0.43263529411764723,0.6371279069767435,1.480333333333333,1.3423333333333334,2.1680294117647056,0.07075000000000001,18.88593548387097,0.27003225806451614,0
FRO,0.0,0.4353611111111112,0.003333333333333335,0.0,0.0,0.15636046511627885,,,0.43208333333333343,,,,0
FIN,0.5166595744680851,19.913746913580255,7.766271604938269,0.01661111111111111,1.489932098765432,18.274622093023243,6.501333333333334,5.677333333333333,10.167283950617284,0.8804999999999998,74.08754838709679,17.534838709677416,0
FRA,7.440734042553195,182.7372102803739,89.1540000000001,0.8016448598130841,17.117635514018698,-27.333668604651177,68.14933333333333,47.678333333333335,71.73310747663551,4.43059375,491.82454838709674,113.57303225806453,1
GEO,0.21976923076923072,3.9506470588235283,0.48645294117647075,0.01644117647058824,1.4839,-2.2026860465116282,7.044333333333333,1.9100000000000004,1.8463000000000005,,8.819096774193548,1.3188387096774192,0
DEU,12.836255319148933,405.6108956521737,281.1558608695651,0.4068391304347826,31.205486956521735,-6.71729069767442,69.365,46.991333333333316,86.31616086956517,9.203374999999998,1024.2549999999999,157.28251612903225,1
GRC,3.0062978723404252,29.309822695035464,11.607099290780145,0.0029858156028368804,1.196709219858156,10.27729069767441,10.745666666666667,5.766,14.31983687943262,0.7885625,87.6125483870968,-3.839129032258065,0
HUN,0.9565531914893617,26.76539682539682,13.852671957671951,0.06812698412698415,5.4909576719576725,3.808226744186045,8.508999999999999,6.291333333333332,6.7536084656084645,0.73403125,73.38238709677418,16.897451612903225,0
ISL,0.010147601476014753,0.5710294117647059,0.2396144578313253,0.051265060240963854,0.0,0.9669127906976744,0.5623333333333332,0.37033333333333324,1.5460481927710843,0.0029375000000000017,,,0
IRL,0.6620360360360359,20.390531531531536,7.963936936936937,0.0009009009009009009,2.7458288288288286,-1.8914360465116276,15.911333333333333,9.779333333333332,8.857801801801802,0.5550624999999999,52.335096774193545,12.02635483870968,0
ITA,10.096936170212764,154.72327160493825,29.22451234567903,0.5920802469135803,33.99915432098766,-1.3116453488372115,47.94833333333333,21.868666666666677,84.17145679012344,4.44178125,542.9885483870968,113.86299999999999,1
LVA,0.18209890109890103,5.649982352941176,0.8968117647058826,0.009170588235294118,0.9266058823529413,4.739802325581395,2.472666666666667,1.7606666666666666,3.707323529411765,0.06709374999999997,14.483387096774193,5.525451612903225,0
LTU,0.5231208791208792,9.269599999999995,1.0917117647058825,0.0732764705882353,1.725552941176471,8.768494186046517,4.4896666666666665,4.498666666666666,6.07886470588235,0.10790624999999998,25.00009677419356,9.228645161290324,0
LUX,0.2631038961038961,9.895480519480515,4.652129870129872,0.0,0.9768311688311687,-0.008383720930232654,0.5820000000000001,0.34366666666666656,3.9755324675324673,0.06696875000000002,10.86925806451613,0.5833870967741935,0
MLT,0.0,1.4664722222222224,0.08902777777777779,0.0,0.04888888888888889,-0.03048837209302326,0.20866666666666667,0.06166666666666671,1.3281666666666663,0.0006875000000000002,5.6254838709677415,3.238032258064517,0
MDA,0.3990879120879121,7.892529411764706,2.3673000000000006,0.02115294117647059,1.170782352941177,3.5679011627907022,3.938999999999999,1.0826666666666669,4.1196647058823554,,,,0
MNE,0.0,0.8361111111111109,0.5847539682539684,0.0002698412698412699,0.0,1.2587441860465125,0.7986666666666665,0.15000000000000005,0.2510555555555556,,,,0
NLD,0.32068181818181807,67.49690909090909,21.97088636363637,0.17020454545454544,22.38477840909091,3.788843023255814,21.543,12.138,22.434551136363638,1.187125,190.53390322580645,21.420322580645163,0
NOR,0.6589789473684211,14.064331578947366,3.250115789473684,0.39106842105263157,2.4716105263157897,7.112226744186046,5.463333333333334,4.194999999999999,7.505510526315789,0.6921250000000002,49.33338888888889,5.076444444444444,0
POL,4.5026276595744665,127.00942792792794,104.49732432432431,0.5177747747747747,5.521292792792792,-9.90984302325582,34.55499999999999,22.679999999999996,13.897824324324326,4.638999999999999,314.0296451612903,-21.74203225806451,1
PRT,1.7208297872340426,17.474125000000004,4.286513157894738,0.124,1.4740526315789473,2.7096453488372068,11.981666666666667,3.6390000000000002,10.354960526315788,0.8096249999999998,78.0894193548387,22.382387096774192,0
ROU,2.819893617021276,52.726292682926825,15.667103658536579,0.17662195121951216,17.923658536585364,19.761331395348837,19.89533333333333,10.400333333333329,17.12015853658537,1.1402812500000001,97.79480645161293,-3.623967741935486,1
RUS,18.232725274725276,691.4566647058824,268.0674705882353,8.743805882352941,206.20125882352946,575.8246453488373,594.7280000000002,64.84966666666668,195.41070000000002,17.39084375,1290.9913870967737,-380.33332258064513,1
SRB,0.78729347826087,22.25476984126984,16.385706349206348,0.008253968253968253,1.5734603174603174,7.6786511627907,12.313666666666666,4.426,3.712531746031745,,,,0
SVK,0.5509444444444443,24.2858086419753,16.497765432098767,0.004487654320987657,3.1276358024691358,2.9591046511627908,5.166333333333332,2.599666666666666,3.904839506172838,1.0130937500000001,46.95025806451613,5.739580645161289,0
SVN,0.3070108695652175,6.861746031746032,2.9541984126984113,0.03659523809523809,0.5523571428571429,2.145151162790697,2.041,0.8493333333333328,3.0579365079365095,0.14390625000000004,19.20987096774194,3.7439999999999998,0
ESP,7.500170212765961,78.64689583333335,25.307098958333338,0.4357031249999999,8.615291666666666,12.333610465116292,37.91733333333333,21.508333333333333,40.03072395833333,3.5165624999999996,315.57112903225806,29.390774193548392,1
SWE,0.9807807017543858,27.318168478260876,8.197108695652176,0.0948804347826087,0.38763043478260867,18.341058139534884,6.853333333333334,5.612,17.92378804347827,0.61553125,82.30332258064519,30.15309677419355,0
CHE,1.4699468085106382,18.65668292682927,3.60989024390244,0.007615853658536584,1.409670731707317,1.472383720930232,5.666,2.572666666666667,12.744591463414633,0.21706250000000002,110.34938709677418,67.71361290322581,0
TUR,9.709393617021277,72.23428662420382,29.488687898089168,0.03554140127388535,11.340044585987263,36.37242441860465,40.63399999999999,27.39299999999999,24.652636942675155,4.4359375,307.20377419354844,28.452290322580648,1
UKR,4.406307692307694,181.08670588235296,100.37438823529412,1.0052470588235294,37.0232588235294,76.41655232558134,50.26833333333333,23.770666666666667,39.651564705882365,3.5782187500000004,267.51541935483874,-69.71854838709677,1
GBR,5.690684782608694,288.63500735294105,209.00953676470584,1.0678529411764703,26.408930147058822,6.698255813953489,84.22466666666669,36.445,49.80011397058823,3.60184375,659.3114193548388,141.26990322580644,1
